viajante_id,nome_viajante,area,centro_custo_id,senioridade,risco_comportamental,ativo
V0001,Daniela Silva,Comercial,CC003,Sênior,0.145,True
V0002,Helena Souza,Comercial,CC002,Gestão,0.297,True
V0003,Daniela Carvalho,Comercial,CC001,Pleno,0.304,True
V0004,William Costa,Comercial,CC001,Pleno,0.272,True
V0005,Ana Santos,Comercial,CC002,Sênior,0.209,True
V0006,Helena Almeida,Comercial,CC001,Júnior,0.319,True
V0007,Vanessa Souza,Comercial,CC004,Sênior,0.28,True
V0008,Helena Rodrigues,Comercial,CC003,Júnior,0.323,True
V0009,Ana Oliveira,Comercial,CC004,Pleno,0.333,True
V0010,Lucas Lima,Comercial,CC002,Pleno,0.343,True
V0011,Gabriel Pereira,Comercial,CC001,Sênior,0.389,True
V0012,Carlos Costa,Comercial,CC001,Pleno,0.302,True
V0013,Mariana Pereira,Comercial,CC003,Pleno,0.213,True
V0014,Bruno Gomes,Comercial,CC004,Pleno,0.201,True
V0015,Vanessa Santos,Comercial,CC004,Sênior,0.148,True
V0016,Carlos Almeida,Comercial,CC003,Sênior,0.202,True
V0017,Yasmin Pereira,Comercial,CC002,Sênior,0.222,True
V0018,Carlos Silva,Comercial,CC002,Pleno,0.204,True
V0019,Juliana Santos,Comercial,CC002,Pleno,0.273,True
V0020,Daniela Costa,Comercial,CC003,Júnior,0.138,True
V0021,Rafael Carvalho,Comercial,CC003,Pleno,0.392,True
V0022,Fernanda Pereira,Comercial,CC003,Pleno,0.153,True
V0023,Gabriel Carvalho,Comercial,CC003,Pleno,0.437,True
V0024,Carlos Nascimento,Comercial,CC002,Sênior,0.225,True
V0025,Vanessa Gomes,Comercial,CC002,Júnior,0.23,True
V0026,Fernanda Rodrigues,Comercial,CC004,Júnior,0.539,True
V0027,Igor Carvalho,Comercial,CC002,Pleno,0.148,True
V0028,Lucas Silva,Comercial,CC002,Pleno,0.217,True
V0029,Bruno Pereira,Comercial,CC004,Gestão,0.165,True
V0030,Igor Santos,Comercial,CC002,Pleno,0.172,True
V0031,William Gomes,Comercial,CC003,Júnior,0.187,True
V0032,Gabriel Carvalho,Comercial,CC004,Sênior,0.431,True
V0033,Nicolas Carvalho,Comercial,CC004,Pleno,0.129,True
V0034,Eduardo Lima,Comercial,CC002,Sênior,0.169,True
V0035,Helena Gomes,Comercial,CC003,Pleno,0.227,True
V0036,William Costa,Comercial,CC004,Gestão,0.291,True
V0037,Mariana Souza,Comercial,CC002,Pleno,0.493,True
V0038,Tiago Rodrigues,Comercial,CC001,Júnior,0.613,True
V0039,Bruno Santos,Comercial,CC002,Júnior,0.548,True
V0040,Fernanda Carvalho,Comercial,CC004,Gestão,0.413,True
V0041,Yasmin Santos,Comercial,CC004,Pleno,0.197,True
V0042,Nicolas Nascimento,Comercial,CC004,Sênior,0.116,True
V0043,Tiago Lima,Comercial,CC001,Júnior,0.331,True
V0044,Daniela Carvalho,Operações,CC007,Júnior,0.289,True
V0045,Lucas Santos,Operações,CC007,Sênior,0.447,True
V0046,Paula Oliveira,Operações,CC008,Pleno,0.216,True
V0047,Ana Gomes,Operações,CC007,Gestão,0.478,True
V0048,Tiago Oliveira,Operações,CC005,Sênior,0.298,True
V0049,Juliana Carvalho,Operações,CC006,Pleno,0.214,True
V0050,Eduardo Pereira,Operações,CC006,Pleno,0.304,True
V0051,Vanessa Almeida,Operações,CC005,Pleno,0.034,True
V0052,Yasmin Pereira,Operações,CC008,Sênior,0.327,True
V0053,Ana Santos,Operações,CC007,Gestão,0.266,True
V0054,Juliana Souza,Operações,CC005,Júnior,0.202,True
V0055,Helena Nascimento,Operações,CC005,Sênior,0.216,True
V0056,Carlos Gomes,Operações,CC008,Sênior,0.111,True
V0057,Carlos Almeida,Operações,CC006,Pleno,0.346,True
V0058,Eduardo Carvalho,Operações,CC008,Júnior,0.202,True
V0059,Vanessa Oliveira,Operações,CC007,Gestão,0.142,True
V0060,Tiago Nascimento,Operações,CC008,Júnior,0.108,True
V0061,Gabriel Almeida,Operações,CC006,Pleno,0.249,True
V0062,Juliana Costa,Operações,CC007,Pleno,0.355,True
V0063,Rafael Almeida,Operações,CC008,Pleno,0.057,True
V0064,Daniela Souza,Operações,CC006,Pleno,0.232,True
V0065,Carlos Pereira,Operações,CC005,Sênior,0.207,True
V0066,William Almeida,Operações,CC006,Pleno,0.297,True
V0067,William Souza,Operações,CC005,Júnior,0.611,True
V0068,Carlos Gomes,Operações,CC005,Gestão,0.114,True
V0069,Helena Santos,Operações,CC005,Gestão,0.252,True
V0070,Lucas Santos,Operações,CC006,Júnior,0.61,True
V0071,Igor Carvalho,Operações,CC008,Sênior,0.462,True
V0072,Gabriel Almeida,Operações,CC006,Júnior,0.043,True
V0073,William Nascimento,Operações,CC008,Sênior,0.288,True
V0074,Helena Rodrigues,Operações,CC008,Pleno,0.111,True
V0075,Gabriel Santos,Operações,CC005,Gestão,0.054,True
V0076,Paula Pereira,Operações,CC008,Gestão,0.225,True
V0077,Paula Rodrigues,Operações,CC005,Sênior,0.17,True
V0078,Daniela Silva,Operações,CC008,Júnior,0.404,True
V0079,Lucas Santos,Operações,CC006,Sênior,0.097,True
V0080,Gabriel Souza,Operações,CC008,Gestão,0.471,True
V0081,Eduardo Costa,Operações,CC006,Pleno,0.249,True
V0082,Igor Rodrigues,Operações,CC006,Gestão,0.283,True
V0083,Carlos Rodrigues,Operações,CC005,Júnior,0.168,True
V0084,Bruno Carvalho,Operações,CC005,Júnior,0.051,True
V0085,Carlos Souza,Operações,CC006,Júnior,0.283,True
V0086,Paula Rodrigues,Operações,CC008,Sênior,0.197,True
V0087,Gabriel Costa,Operações,CC005,Sênior,0.185,True
V0088,Fernanda Costa,Operações,CC005,Pleno,0.442,True
V0089,Nicolas Lima,Operações,CC008,Sênior,0.443,True
V0090,Juliana Costa,Operações,CC008,Júnior,0.173,True
V0091,Eduardo Souza,Operações,CC007,Sênior,0.166,True
V0092,Gabriel Silva,Operações,CC005,Pleno,0.257,True
V0093,Lucas Silva,Operações,CC005,Pleno,0.137,True
V0094,William Rodrigues,Tecnologia,CC011,Pleno,0.315,True
V0095,Tiago Oliveira,Tecnologia,CC009,Pleno,0.235,True
V0096,Tiago Santos,Tecnologia,CC009,Júnior,0.117,True
V0097,Carlos Nascimento,Tecnologia,CC009,Pleno,0.143,True
V0098,Helena Costa,Tecnologia,CC009,Sênior,0.341,True
V0099,William Souza,Tecnologia,CC011,Pleno,0.341,True
V0100,Yasmin Silva,Tecnologia,CC011,Pleno,0.153,True
V0101,Carlos Costa,Tecnologia,CC011,Júnior,0.259,True
V0102,William Nascimento,Tecnologia,CC011,Pleno,0.304,True
V0103,Lucas Lima,Tecnologia,CC009,Sênior,0.04,True
V0104,Lucas Souza,Tecnologia,CC010,Júnior,0.573,True
V0105,Nicolas Oliveira,Tecnologia,CC011,Sênior,0.169,True
V0106,Juliana Rodrigues,Tecnologia,CC010,Pleno,0.225,True
V0107,Carlos Silva,Tecnologia,CC010,Pleno,0.11,True
V0108,Yasmin Nascimento,Tecnologia,CC009,Pleno,0.371,True
V0109,Carlos Almeida,Tecnologia,CC009,Júnior,0.084,True
V0110,Tiago Lima,Tecnologia,CC009,Pleno,0.326,True
V0111,Mariana Santos,Tecnologia,CC009,Pleno,0.115,True
V0112,Mariana Lima,Tecnologia,CC009,Sênior,0.183,True
V0113,Rafael Almeida,Tecnologia,CC011,Sênior,0.157,True
V0114,Juliana Nascimento,Tecnologia,CC011,Gestão,0.181,True
V0115,Tiago Silva,Tecnologia,CC011,Pleno,0.092,True
V0116,Vanessa Lima,Tecnologia,CC011,Júnior,0.333,True
V0117,Daniela Oliveira,Tecnologia,CC010,Pleno,0.228,True
V0118,Daniela Santos,Tecnologia,CC011,Sênior,0.152,True
V0119,Vanessa Oliveira,Administrativo,CC013,Sênior,0.347,True
V0120,Juliana Nascimento,Administrativo,CC012,Gestão,0.405,True
V0121,Lucas Souza,Administrativo,CC014,Sênior,0.382,True
V0122,Igor Almeida,Administrativo,CC013,Sênior,0.129,True
V0123,Igor Silva,Administrativo,CC012,Pleno,0.166,True
V0124,Paula Lima,Administrativo,CC012,Gestão,0.472,True
V0125,Ana Pereira,Administrativo,CC012,Júnior,0.201,True
V0126,Igor Oliveira,Administrativo,CC014,Sênior,0.347,True
V0127,Rafael Almeida,Administrativo,CC014,Sênior,0.248,True
V0128,Paula Almeida,Administrativo,CC012,Pleno,0.216,True
V0129,Daniela Santos,Administrativo,CC014,Pleno,0.73,True
V0130,Eduardo Almeida,Administrativo,CC012,Pleno,0.148,True
V0131,Mariana Nascimento,Administrativo,CC014,Sênior,0.278,True
V0132,Eduardo Costa,Administrativo,CC012,Júnior,0.4,True
V0133,Bruno Lima,Administrativo,CC013,Pleno,0.163,True
V0134,Bruno Pereira,Administrativo,CC012,Júnior,0.353,True
V0135,Helena Carvalho,Administrativo,CC012,Pleno,0.162,True
V0136,Mariana Almeida,Administrativo,CC013,Pleno,0.321,True
V0137,Yasmin Gomes,Financeiro,CC015,Pleno,0.349,True
V0138,Helena Oliveira,Financeiro,CC015,Júnior,0.476,True
V0139,Paula Silva,Financeiro,CC015,Pleno,0.326,True
V0140,Lucas Costa,Financeiro,CC017,Gestão,0.116,True
V0141,Helena Lima,Financeiro,CC015,Sênior,0.163,True
V0142,Daniela Costa,Financeiro,CC015,Gestão,0.261,True
V0143,Sabrina Souza,Financeiro,CC015,Pleno,0.19,True
V0144,Rafael Pereira,Financeiro,CC016,Pleno,0.428,True
V0145,Helena Souza,Financeiro,CC015,Pleno,0.235,True
V0146,Gabriel Costa,Financeiro,CC016,Júnior,0.294,True
V0147,Igor Santos,Financeiro,CC016,Sênior,0.062,True
V0148,Mariana Carvalho,Financeiro,CC017,Pleno,0.09,True
V0149,Nicolas Carvalho,Financeiro,CC017,Júnior,0.081,True
V0150,Lucas Silva,Financeiro,CC015,Júnior,0.188,True
V0151,Igor Oliveira,Financeiro,CC017,Júnior,0.012,True
V0152,Igor Silva,Financeiro,CC015,Sênior,0.126,True
V0153,Yasmin Costa,Financeiro,CC016,Sênior,0.114,True
V0154,Lucas Costa,Financeiro,CC017,Sênior,0.533,True
V0155,Tiago Santos,RH,CC019,Sênior,0.214,True
V0156,William Souza,RH,CC019,Júnior,0.238,True
V0157,Bruno Gomes,RH,CC019,Sênior,0.312,True
V0158,Ana Almeida,RH,CC020,Sênior,0.285,True
V0159,Gabriel Pereira,RH,CC019,Pleno,0.07,True
V0160,Carlos Carvalho,RH,CC019,Pleno,0.199,True
V0161,Yasmin Pereira,RH,CC020,Sênior,0.273,True
V0162,Daniela Gomes,RH,CC019,Sênior,0.026,True
V0163,Tiago Lima,RH,CC020,Gestão,0.288,True
V0164,Paula Pereira,RH,CC019,Sênior,0.384,True
V0165,Juliana Almeida,RH,CC018,Pleno,0.271,True
V0166,Gabriel Costa,RH,CC020,Pleno,0.147,True
V0167,Nicolas Carvalho,RH,CC020,Júnior,0.05,True
V0168,Fernanda Nascimento,RH,CC020,Gestão,0.164,True
V0169,Juliana Costa,RH,CC020,Pleno,0.448,True
V0170,Ana Lima,RH,CC019,Pleno,0.108,True
V0171,Gabriel Costa,RH,CC020,Júnior,0.423,True
V0172,Yasmin Carvalho,RH,CC019,Pleno,0.422,True
V0173,Rafael Rodrigues,Diretoria,CC022,Gestão,0.242,True
V0174,Gabriel Almeida,Diretoria,CC022,Gestão,0.297,True
V0175,Fernanda Carvalho,Diretoria,CC021,Sênior,0.211,True
V0176,Juliana Almeida,Diretoria,CC023,Pleno,0.24,True
V0177,Yasmin Pereira,Diretoria,CC021,Sênior,0.154,True
V0178,Helena Carvalho,Diretoria,CC022,Gestão,0.492,True
V0179,Helena Souza,Diretoria,CC021,Sênior,0.175,True
V0180,Ana Silva,Diretoria,CC021,Gestão,0.125,True
V0181,Sabrina Nascimento,Diretoria,CC021,Gestão,0.27,True
V0182,Rafael Costa,Diretoria,CC023,Gestão,0.168,True
V0183,William Souza,Diretoria,CC023,Gestão,0.186,True
V0184,Nicolas Rodrigues,Diretoria,CC022,Gestão,0.222,True
V0185,Helena Oliveira,Diretoria,CC023,Gestão,0.105,True
V0186,Ana Santos,Diretoria,CC022,Gestão,0.207,True
V0187,Helena Oliveira,Diretoria,CC023,Gestão,0.061,True
V0188,Tiago Rodrigues,Diretoria,CC021,Sênior,0.128,True
V0189,Vanessa Souza,Diretoria,CC021,Gestão,0.193,True
V0190,Rafael Oliveira,Diretoria,CC022,Sênior,0.163,True
